키 몸무게 ssm 팔 다리 복부 bfm
156 55 1 1 1 1 1
157 56 2 2 2 2 2
158 57 3 3 3 3 3
159 57 4 4 4 4 4
160 58 5 5 5 5 5
161 59 6 6 6 6 6
162 60 7 7 7 7 7
163 60 8 8 8 8 8
164 61 9 9 9 9 9
165 62 10 10 10 10 10
166 62 11 11 11 11 11
167 63 12 12 12 12 12
168 64 13 13 13 13 13 
169 65 14 14 14 14 14
170 65 15 15 15 15 15
171 65 16 16 16 16 16
172 66 17 17 17 17 17 
173 67 18 18 18 18 18 
174 68 19 19 19 19 19
175 68 20 20 20 20 20
176 69 21 21 21 21 21
177 70 22 22 22 22 22
178 71 23 23 23 23 23
179 72 24 24 24 24 24
180 73 25 25 25 25 25
181 74 26 26 26 26 26
182 75 27 27 27 27 27
183 76 28 28 28 28 28
184 77 29 29 29 29 29
185 78 30 30 30 30 30
